historico;solicitante;orgão_solicitante;status_voo;horas_voadas;Aeronave;n_db;base;data;orgao_responsável;origem;destino;passageiro;cargo_funcao_;orgao_passageiro
O Governador Romeu Zema realiza entrega de respiradores na cidade de Teófilo Otoni - MG.;Romeu Zema Neto;Governo de Minas Gerais;PLANEJADA;00:56:00;PR-TRJ - PEGASUS 21;0035-2020;DTA;19/05/2020;Gabinete Militar do Governador;TEOFILO OTONI;BELO HORIZONTE;Gustavo de Vasconcellos Moreira;Deputado Estadual;Assembleia Legislativa de Minas Gerais
"Traslado do Exmo. Governador de Minas Gerais e comitiva em visita a Comunidade Lajinha; entrevista para Rádio 98 FM -Teófilo Otoni; e Solenidade de abertura da XXX Feira Internacional de Pedras Preciosas de Teófilo Otoni.";Lucas Tadeu Bonaccorsi;Gabinete Militar do Governador;PLANEJADA;02:20:00;PT-WGS - PÉGASUS 19;0101-2020;DTA;10/11/2020;Secretaria-Geral;TEOFILO OTONI;BELO HORIZONTE;Gustavo de Vasconcellos Moreira;Deputado Estadual;Assembleia Legislativa de Minas Gerais
O Governador Romeu Zema realiza entrega de respiradores na cidade de Teófilo Otoni - MG.;Romeu Zema Neto;Governo de Minas Gerais;PLANEJADA;01:44:00;PR-TRJ - PEGASUS 21;0034-2020;DTA;19/05/2020;Gabinete Militar do Governador;BELO HORIZONTE;TEOFILO OTONI;Gustavo de Vasconcellos Moreira;Deputado Estadual;Assembleia Legislativa de Minas Gerais
"Traslado do Exmo. Governador de Minas Gerais e comitiva em visita a Comunidade Lajinha; entrevista para Rádio 98 FM -Teófilo Otoni; e Solenidade de abertura da XXX Feira Internacional de Pedras Preciosas de Teófilo Otoni.";Lucas Tadeu Bonaccorsi;Gabinete Militar do Governador;PLANEJADA;02:20:00;PT-WGS - PÉGASUS 19;0100-2020;DTA;10/11/2020;Secretaria-Geral;BELO HORIZONTE;TEOFILO OTONI;Gustavo de Vasconcellos Moreira;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Sobrevoo nas regiões mineiras afetadas pelas chuvas.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Dauphin - PR-DTG;;;26/01/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;BELO HORIZONTE;Gustavo Henrique Canuto;Ministro do Desenvolvimento Regional;Gabinete Militar do Governador
Agenda Oficial do Governador do Estado de Minas Gerais: - Sobrevoo nas regiões mineiras afetadas pelas chuvas.;;;PLANEJADA;;Dauphin - PR-DTG;;;26/01/2020;;BELO HORIZONTE;BELO HORIZONTE;Gustavo Henrique Canuto;Ministro do Desenvolvimento Regional;Gabinete Militar do Governador
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:50:00;PT-MGS - PT-MGS;0051-2020;DTA;13/08/2020;Secretaria-Geral;MONTES CLAROS;BELO HORIZONTE;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
O Governador Romeu Zema realiza entrega de respiradores na cidade de Teófilo Otoni - MG.;Romeu Zema Neto;Governo de Minas Gerais;PLANEJADA;00:56:00;PR-TRJ - PEGASUS 21;0035-2020;DTA;19/05/2020;Gabinete Militar do Governador;TEOFILO OTONI;BELO HORIZONTE;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: - Visita nas regiões afetadas pelas chuvas para avaliaçãµes dos danos causados  em Manhuaá§u - MG.;;;PLANEJADA;;King Air - PT-WGS;;;26/01/2020;;BELO HORIZONTE;MANHUAÇU;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:27:00;PR-DTG - N3;0097-2020;DTA;13/08/2020;Secretaria-Geral;BRASÍLIA DE MINAS;MONTES CLAROS;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
O Governador Romeu Zema realiza entrega de respiradores na cidade de Teófilo Otoni - MG.;Romeu Zema Neto;Governo de Minas Gerais;PLANEJADA;01:44:00;PR-TRJ - PEGASUS 21;0034-2020;DTA;19/05/2020;Gabinete Militar do Governador;BELO HORIZONTE;TEOFILO OTONI;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Deslocamento para cidade Belo Horizonte - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Citation - PT-MGS;;;29/02/2020 00:00;Gabinete Militar do Governador;Foz do Iguaçu;BELO HORIZONTE;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Participação na Reunião do Consórcio de Integração Sul e Sudeste - COSUD  em Foz do Iguaçu/PR.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Citation - PT-MGS;;;28/02/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;Foz do Iguaçu;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
"Reunião com o ministro do Desenvolvimento regional Rogério Marinho; café da manhã com o presidente do Senado Federal,  Davi Alcolumbre; reunião com o ministro do Superior Tribunal de Justiça,  João Otávio de Noronha; reunião com o ministro da Economia Paulo Guedes.";Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Citation - PT-MGS;;;04/03/2020 00:00;Gabinete Militar do Governador;BRASILIA;BELO HORIZONTE;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
"Reunião com o ministro do Desenvolvimento regional Rogério Marinho; café da manhã com o presidente do Senado Federal,  Davi Alcolumbre; reunião com o ministro do Superior Tribunal de Justiça,  João Otávio de Noronha; reunião com o ministro da Economia Paulo Guedes.";Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Citation - PT-MGS;;;03/03/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;Brasília;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Visita nas regiões afestadas pelas chuvas para avaliações dos danos causados  em Manhuaçu - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;King Air - PT-WGS;;;26/01/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;MANHUAÇU;Igor Mascarenhas Eto;Secretário de Estado;Secretaria-Geral do Estado de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: - Visita nas regiões afetadas pelas chuvas para avaliaçãµes dos danos causados  em Manhuaá§u - MG.;;;PLANEJADA;;King Air - PT-WGS;;;26/01/2020;;BELO HORIZONTE;MANHUAÇU;Joáo Lúcio Magalháes Bifano;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Visita nas regiões afestadas pelas chuvas para avaliações dos danos causados  em Manhuaçu - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;King Air - PT-WGS;;;26/01/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;MANHUAÇU;João Lúcio Magalhães Bifano;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:50:00;PT-MGS - PT-MGS;0051-2020;DTA;13/08/2020;Secretaria-Geral;MONTES CLAROS;BELO HORIZONTE;Jose Reis Nogueira de Barros;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Traslado do Exmo Sr Governador de Minas Gerais e comitiva. Agenda oficial na CDL,  Eurofarma e Rede Globo,  em Montes Claros. Visita ao vapor Benjamin Guimaráes e à Liasa, em Pirapora.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:30:00;PT-MGS - PT-MGS;0058-2020;DTA;17/09/2020;Secretaria-Geral;MONTES CLAROS;PIRAPORA;Jose Reis Nogueira de Barros;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Traslado do Exmo Sr Governador do Estado de Minas Gerais e comitiva.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:27:00;PR-DTG - N3;0097-2020;DTA;13/08/2020;Secretaria-Geral;BRASÍLIA DE MINAS;MONTES CLAROS;José Reis Nogueira de Barros;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Agenda Oficial do Governador do Estado de Minas Gerais: Participação na Cerimônia de Inauguração da Estação de Tratamento de Esgoto,  visita à Sociedade Esportiva Recreativa Pirajubense - SERP e Escola Municipal Professor Lazaro Rosa Muniz,  em Pirajuba - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;King Air - PT-WGS;;;21/02/2020 00:00;Gabinete Militar do Governador;UBERLANDIA;Campo Florido;José Vitor de Resende Aguiar;Deputado Estadual;Assembleia Legislativa de Minas Gerais
O Governador Romeu Zema realiza entrega de respiradores na cidade de Teófilo Otoni - MG.;Romeu Zema Neto;Governo de Minas Gerais;PLANEJADA;00:56:00;PR-TRJ - PEGASUS 21;0035-2020;DTA;19/05/2020;Gabinete Militar do Governador;TEOFILO OTONI;BELO HORIZONTE;Laura Mendes Serrano;Deputado Estadual;Assembleia Legislativa de Minas Gerais
O Governador Romeu Zema realiza entrega de respiradores na cidade de Teófilo Otoni - MG.;Romeu Zema Neto;Governo de Minas Gerais;PLANEJADA;01:44:00;PR-TRJ - PEGASUS 21;0034-2020;DTA;19/05/2020;Gabinete Militar do Governador;BELO HORIZONTE;TEOFILO OTONI;Laura Mendes Serrano;Deputado Estadual;Assembleia Legislativa de Minas Gerais
"Traslado do Exmo. Governador de Minas Gerais e comitiva em visita a Comunidade Lajinha; entrevista para Rádio 98 FM -Teófilo Otoni; e Solenidade de abertura da XXX Feira Internacional de Pedras Preciosas de Teófilo Otoni.";Lucas Tadeu Bonaccorsi;Gabinete Militar do Governador;PLANEJADA;02:20:00;PT-WGS - PÉGASUS 19;0100-2020;DTA;10/11/2020;Secretaria-Geral;BELO HORIZONTE;TEOFILO OTONI;Laura Mendes Serrano;Deputado Estadual;Assembleia Legislativa de Minas Gerais
Traslado do Exmo Sr Governador de Minas Gerais e comitiva. Agenda oficial na CDL,  Eurofarma e Rede Globo,  em Montes Claros. Visita ao vapor Benjamin Guimaráes e à Liasa, em Pirapora.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:05:00;PT-MGS - PT-MGS;0057-2020;DTA;17/09/2020;Secretaria-Geral;BELO HORIZONTE;MONTES CLAROS;Leônidas José de Oliveira;Secretário de Estado;Secretaria de Estado de Cultura e Turismo
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Lucas de Vasconcelos Gonzalez;Deputado Federal;Cámara Federal
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;01:20:00;PR-TRJ - PEGASUS 21;0038-2020;EsAF;08/06/2020;Secretaria-Geral;BELO HORIZONTE;GUANHÃES;Lucas de Vasconcelos Gonzalez;Deputado Federal;Cámara Federal
Traslado do Exmo. Governador de Minas Gerais e comitiva para participação no evento de inauguração da nova sede da CEMIG,  em Belo Horizonte/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:45:00;PR-DTG - N3;0133-2020;DTA;01/12/2020;Secretaria-Geral;BELO HORIZONTE;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas Gerais e comitiva para evento de encerramento do ano em Contagem/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PR-DTG - N3;0135-2020;DTA;15/12/2020;Secretaria-Geral;CONTAGEM;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado e sua comitiva nas cidades visitadas. Realizado check do VOR radial 090 BHZ. Sem desvios.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:41:00;PR-DTG - N3;0082-2020;DTA;24/07/2020;Secretaria-Geral;CORONEL FABRICIANO;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado em Sáo Sebastiáo do Oeste e Carmo do Cajuru.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:49:00;PR-DTG - N3;0132-2020;DTA;20/11/2020;Secretaria-Geral;DIVINOPOLIS;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;00:40:00;PR-TRJ - PEGASUS 21;0039-2020;EsAF;08/06/2020;Secretaria-Geral;GUANHÃES;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas Gerais e comitiva para reuniáo com empresários e autoridades locais em Juiz de Fora/MG.;Lucas Tadeu Bonaccorsi;Gabinete Militar do Governador;PLANEJADA;01:30:00;PT-WGS - PÉGASUS 19;0103-2020;DTA;03/12/2020;Secretaria-Geral;JUIZ DE FORA;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público,  em Governador Valadares; sobrevoo ás áreas atingidas pelo rompimento da Barragem do Fundáo,  Reuniáo com bispo Dom Airton José dos Santos  e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundáo em Mariana (MG)";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:57:00;PR-DTG - N3;0128-2020;DTA;05/11/2020;Secretaria-Geral;MARIANA;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado e sua comitiva nas cidades para entrega de respiradores.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:45:00;PR-DTG - N3;0088-2020;DTA;07/08/2020;Secretaria-Geral;OLIVEIRA;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Governador de Minas Gerais e comitiva para revista à tropa do Corpo de Bombeiros Militar de Minas Gerais (CBMMG) em Brumadinho e reuniáo com ministro Marcelo Âlvaro Antônio (Turismo)em Ouro Preto.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:42:00;PR-DTG - N3;0113-2020;DTA;03/09/2020;Secretaria-Geral;OURO PRETO;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Governador de Minas Gerais e comitiva em visita a Comunidade Lajinha; entrevista para Rádio 98 FM -Teófilo Otoni; e Solenidade de abertura da XXX Feira Internacional de Pedras Preciosas de Teófilo Otoni.";Lucas Tadeu Bonaccorsi;Gabinete Militar do Governador;PLANEJADA;02:20:00;PT-WGS - PÉGASUS 19;0101-2020;DTA;10/11/2020;Secretaria-Geral;TEOFILO OTONI;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Governador de Minas Gerais e comitiva para revista á  tropa do Corpo de Bombeiros Militar de Minas Gerais (CBMMG) em Brumadinho e reuniáo com ministro Marcelo Âlvaro Antônio (Turismo)em Ouro Preto.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;01:22:00;PR-DTG - N3;0111-2020;DTA;03/09/2020;Secretaria-Geral;BELO HORIZONTE;BRUMADINHO;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado em Sáo Sebastiáo do Oeste e Carmo do Cajuru.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:49:00;PR-DTG - N3;0130-2020;DTA;20/11/2020;Secretaria-Geral;SÃO SEBASTIÃO DO OESTE;CARMO DO CAJURU;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas Gerais e comitiva para evento de encerramento do ano em Contagem/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:55:00;PR-DTG - N3;0134-2020;DTA;15/12/2020;Secretaria-Geral;BELO HORIZONTE;CONTAGEM;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado e sua comitiva nas cidades visitadas.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:32:00;PR-DTG - N3;0081-2020;DTA;24/07/2020;Secretaria-Geral;MANHUAÇU;CORONEL FABRICIANO;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público,  em Governador Valadares; sobrevoo ás áreas atingidas pelo rompimento da Barragem do Fundáo,  Reuniáo com bispo Dom Airton José dos Santos  e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundáo em Mariana (MG)";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:57:00;PR-DTG - N3;0126-2020;DTA;05/11/2020;Secretaria-Geral;BELO HORIZONTE;GOVERNADOR VALADARES;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Entrega de ambulâncias no município de Guanháes/MG.;Romeu Zema Neto;Governadoria;PLANEJADA;01:20:00;PR-TRJ - PEGASUS 21;0038-2020;EsAF;08/06/2020;Secretaria-Geral;BELO HORIZONTE;GUANHÃES;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas Gerais e comitiva para reuniáo com empresários e autoridades locais em Juiz de Fora/MG.;Lucas Tadeu Bonaccorsi;Gabinete Militar do Governador;PLANEJADA;01:30:00;PT-WGS - PÉGASUS 19;0102-2020;DTA;03/12/2020;Secretaria-Geral;BELO HORIZONTE;JUIZ DE FORA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado e sua comitiva nas cidades visitadas.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:11:00;PR-DTG - N3;0080-2020;DTA;24/07/2020;Secretaria-Geral;BELO HORIZONTE;MANHUAÇU;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público,  em Governador Valadares; sobrevoo ás áreas atingidas pelo rompimento da Barragem do Fundáo,  Reuniáo com bispo Dom Airton José dos Santos  e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundáo em Mariana (MG)";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:57:00;PR-DTG - N3;0127-2020;DTA;05/11/2020;Secretaria-Geral;GOVERNADOR VALADARES;MARIANA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr Governador de Minas Gerais e comitiva. Agenda oficial na CDL,  Eurofarma e Rede Globo,  em Montes Claros. Visita ao vapor Benjamin Guimaráes e à Liasa, em Pirapora.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:05:00;PT-MGS - PT-MGS;0057-2020;DTA;17/09/2020;Secretaria-Geral;BELO HORIZONTE;MONTES CLAROS;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado e sua comitiva nas cidades para entrega de respiradores.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:35:00;PR-DTG - N3;0087-2020;DTA;07/08/2020;Secretaria-Geral;TRÊS PONTAS;OLIVEIRA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Governador de Minas Gerais e comitiva para revista á  tropa do Corpo de Bombeiros Militar de Minas Gerais (CBMMG) em Brumadinho e reuniáo com ministro Marcelo Âlvaro Antônio (Turismo)em Ouro Preto.;Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;00:22:00;PR-DTG - N3;0112-2020;DTA;03/09/2020;Secretaria-Geral;BRUMADINHO;OURO PRETO;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr Governador de Minas Gerais e comitiva. Agenda oficial na CDL,  Eurofarma e Rede Globo,  em Montes Claros. Visita ao vapor Benjamin Guimaráes e à Liasa, em Pirapora.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:30:00;PT-MGS - PT-MGS;0058-2020;DTA;17/09/2020;Secretaria-Geral;MONTES CLAROS;PIRAPORA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Governador de Minas Gerais e comitiva em visita a Comunidade Lajinha; entrevista para Rádio 98 FM -Teófilo Otoni; e Solenidade de abertura da XXX Feira Internacional de Pedras Preciosas de Teófilo Otoni.";Lucas Tadeu Bonaccorsi;Gabinete Militar do Governador;PLANEJADA;02:20:00;PT-WGS - PÉGASUS 19;0100-2020;DTA;10/11/2020;Secretaria-Geral;BELO HORIZONTE;TEOFILO OTONI;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Agenda do Governador do Estado e sua comitiva nas cidades para entrega de respiradores.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:28:00;PR-DTG - N3;0086-2020;DTA;07/08/2020;Secretaria-Geral;BELO HORIZONTE;TRÊS PONTAS;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr Governador de Minas Gerais e comitiva. Agenda oficial na CDL,  Eurofarma e Rede Globo,  em Montes Claros. Visita ao vapor Benjamin Guimaráes e à Liasa, em Pirapora.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:30:00;PT-MGS - PT-MGS;0058-2020;DTA;17/09/2020;Secretaria-Geral;MONTES CLAROS;PIRAPORA;Luis Tadeu Martins Leite;Deputado Estadual;Assembleia Legislativa de Minas Gerais
"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público,  em Governador Valadares; sobrevoo ás áreas atingidas pelo rompimento da Barragem do Fundáo,  Reuniáo com bispo Dom Airton José dos Santos  e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundáo em Mariana (MG)";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:57:00;PR-DTG - N3;0128-2020;DTA;05/11/2020;Secretaria-Geral;MARIANA;BELO HORIZONTE;Marcel Dornas Beghini;Secretário-Geral Adjunto de Governo;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público,  em Governador Valadares; sobrevoo ás áreas atingidas pelo rompimento da Barragem do Fundáo,  Reuniáo com bispo Dom Airton José dos Santos  e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundáo em Mariana (MG)";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:57:00;PR-DTG - N3;0126-2020;DTA;05/11/2020;Secretaria-Geral;BELO HORIZONTE;GOVERNADOR VALADARES;Marcel Dornas Beghini;Secretário-Geral Adjunto de Governo;Secretaria-Geral do Estado de Minas Gerais
"Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para Inauguração da nova sede do Ministério Público,  em Governador Valadares; sobrevoo ás áreas atingidas pelo rompimento da Barragem do Fundáo,  Reuniáo com bispo Dom Airton José dos Santos  e Encontro com as famílias atingidas pelo rompimento da Barragem do Fundáo em Mariana (MG)";Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:57:00;PR-DTG - N3;0127-2020;DTA;05/11/2020;Secretaria-Geral;GOVERNADOR VALADARES;MARIANA;Marcel Dornas Beghini;Secretário-Geral Adjunto de Governo;Secretaria-Geral do Estado de Minas Gerais
Participação do Governador de Minas Gerais e sua comitiva no lançamento da CNN BRASIL na capital paulista.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;PT-MGS Citation;;;09/03/2020 00:00;Gabinete Militar do Governador;SÃO PAULO;BELO HORIZONTE;Marcelle Ribeiro Melasso;Superintendente de Publicidade;Gabinete Militar do Governador
Participação do Governador de Minas Gerais e sua comitiva no lançamento da CNN BRASIL na capital paulista.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;PT-MGS Citation;;;09/03/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;SÃO PAULO;Marcelle Ribeiro Melasso;Superintendente de Publicidade;Gabinete Militar do Governador
Agenda Oficial do Governador do Estado de Minas Gerais: - Visita nas regiões afetadas pelas chuvas para avaliaçãµes dos danos causados  em Manhuaá§u - MG.;;;PLANEJADA;;Dauphin - PR-DTG;;;26/01/2020;;MANHUAÇU;MANHUAÇU;Maria Aparecida Magalháes Bifano;Prefeita;Prefeitura de Manhuaçu
Agenda Oficial do Governador do Estado de Minas Gerais: Sobrevoo nas regiões afetadas pelas chuvas  em Manhuaçu - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;Dauphin - PR-DTG;;;26/01/2020 00:00;Gabinete Militar do Governador;MANHUAÇU;MANHUAÇU;Maria Aparecida Magalhães Bifano;Prefeita;Prefeitura de Manhuaçu
Agenda Oficial do Governador do Estado de Minas Gerais: Visita nas regiões afestadas pelas chuvas para avaliações dos danos causados  em Manhuaçu - MG.;Romeu Zema Neto;Gabinete Militar do Governador;REALIZADO;;King Air - PT-WGS;;;26/01/2020 00:00;Gabinete Militar do Governador;BELO HORIZONTE;MANHUAÇU;Mariana de Oliveira Pimentel;Chefe da Assessoria Executiva do Governador;Gabinete Militar do Governador
Agenda Oficial do Governador do Estado de Minas Gerais: - Visita nas regiões afetadas pelas chuvas para avaliaçãµes dos danos causados  em Manhuaá§u - MG.;;;PLANEJADA;;King Air - PT-WGS;;;26/01/2020;;BELO HORIZONTE;MANHUAÇU;Mariana de Oliveira Pimentel;Chefe da Assessoria Executiva do Governador;Gabinete Militar do Governador
"O Exmo Sr Governador de Minas participará de reuniáo com Exmo Presidente da República Jair Bolsonaro; e de reuniáo com presidente do Banco do Brasil,  Rubem Novaes em Brasília/DF.";Paulo Roberto Bermudes Rezende;Gabinete Militar do Governador;PLANEJADA;01:10:00;PR-TRJ - PEGASUS 21;0027-2020;EsAF;09/04/2020;Gabinete Militar do Governador;BRASILIA;BELO HORIZONTE;Mateus Simões da Almeida;Vice Governador;Secretaria-Geral do Estado de Minas Gerais
