Histórico;Solicitante;Órgão;Despacho;Horas Voadas;Aeronave;Número DB;Base;Data;Órgãos;Origem;Destino;Nome;Cargo/Função;Órgão
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Paulo/SP (Congonhas),  Ipatinga/MG e Governador Valadares/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:42:00;PP-LCE - PÉGASUS 24;0054-2025;DTA;21/03/2025;Secretaria-Geral;GOVERNADOR VALADARES;BELO HORIZONTE;José Laviola Neto de Lira;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até as cidades do Rio de Janeiro /RJ, Patos de Minas, Uberlândia e Nova Ponte.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:42:00;PP-LCE - PÉGASUS 24;0025-2025;DTA;08/02/2025 00:00;Secretaria-Geral;PATOS DE MINAS;UBERLANDIA;Ludimila Fonseca de Azevedo Falcão;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva para a cidade de Brasí­lia/DF;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:18:00;PT-MGS - PT-MGS;0024-2025;DTA;11/06/2025;Secretaria-Geral;BRASILIA;BELO HORIZONTE;Luis Tadeu Martins Leite;Presidente;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva para a cidade de Brasí­lia/DF;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:18:00;PT-MGS - PT-MGS;0023-2025;DTA;11/06/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Luis Tadeu Martins Leite;Presidente;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Ouro Preto para Solenidade da Medalha da Inconfidência 2025.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:07:00;PR-DTG - N42;0041-2025;DTA;21/04/2025;Secretaria-Geral;BELO HORIZONTE;OURO PRETO;Luis Tadeu Martins Leite;Presidente;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas Gerais e comitiva para as cidades de Três Corações, Varginha e Poços de Caldas/MG e São João da Boa Vista/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PP-EJO;0035-2025;EsAF;11/07/2025;Secretaria-Geral;BELO HORIZONTE;TRES CORACOES;Marcelo Henrique Teixeira Dias (Marcelo Alvaro AntÃ´nio);Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva de Belo Horizonte para Poços de Caldas/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:54:00;PP-LCE - PÉGASUS 24;0033-2025;DTA;12/02/2025 00:00;Secretaria-Geral;POCOS DE CALDAS;BELO HORIZONTE;Mauricio Lemes de Carvalho;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva de Belo Horizonte para Poços de Caldas/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:00:00;PP-LCE - PÉGASUS 24;0032-2025;DTA;12/02/2025 00:00;Secretaria-Geral;BELO HORIZONTE;POCOS DE CALDAS;Mauricio Lemes de Carvalho;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ponte Nova,  Viçosa e Araxá.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:10:00;PR-OSO - PEGASUS 16;0009-2025;EsAF;30/01/2025;Secretaria-Geral;BELO HORIZONTE;PONTE NOVA;Roberto Dias de Andrade;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva de Belo Horizonte para Poços de Caldas/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:54:00;PP-LCE - PÉGASUS 24;0033-2025;DTA;12/02/2025 00:00;Secretaria-Geral;POCOS DE CALDAS;BELO HORIZONTE;Rodrigo Aparecido Lopes;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas Gerais e comitiva para as cidades de Três Corações, Varginha e Poços de Caldas/MG e São João da Boa Vista/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PP-EJO;0037-2025;EsAF;11/07/2025;Secretaria-Geral;VARGINHA;POCOS DE CALDAS;Rodrigo Aparecido Lopes;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas Gerais e comitiva para as cidades de Três Corações, Varginha e Poços de Caldas/MG e São João da Boa Vista/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PP-EJO;0035-2025;EsAF;11/07/2025;Secretaria-Geral;BELO HORIZONTE;TRES CORACOES;Rodrigo Aparecido Lopes;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Ouro Preto para Solenidade da Medalha da Inconfidência 2025.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:07:00;PR-DTG - N41;0041-2025;DTA;21/04/2025;Secretaria-Geral;BELO HORIZONTE;OURO PRETO;Hugo Motta Wanderley da Nóbrega;Deputado Federal;CAMARA DOS DEPUTADOS
Traslado do Exmo. Governador de Minas e Comitiva para Barbacena,  São João Del Rei,  Passos e Araxá.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:30:00;PR-XAA - PEGASUS 23;0049-2025;EsAF;23/04/2025;Secretaria-Geral;BELO HORIZONTE;BARBACENA;José Silva Soares (Zé Silva);Deputado Federal;CAMARA DOS DEPUTADOS
Traslado do Exmo. Governador de Minas Gerais e Comitiva para as cidades de Brasília/DF e São Paulo/SP.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:36:00;PP-LCE - PÉGASUS 24;0127-2025;DTA;15/09/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Nicoletta Gomiero;Consul Geral da Itália em Belo Horizonte;Consulado Geral da Itália em Belo Horizonte
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG e São Paulo/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:24:00;PT-MGS - PT-MGS;0016-2025;DTA;02/06/2025;Secretaria-Geral;BELO HORIZONTE;MONTES CLAROS;Fernando Passalio de Avelar;Presidente;COPASA
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG e São Paulo/SP;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:24:00;PT-MGS - PT-MGS;0017-2025;DTA;02/06/2025;Secretaria-Geral;MONTES CLAROS;SAO PAULO;Fernando Passalio de Avelar;Presidente;COPASA
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva para a cidade de Brasí­lia/DF;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:18:00;PT-MGS - PT-MGS;0024-2025;DTA;11/06/2025;Secretaria-Geral;BRASILIA;BELO HORIZONTE;Raquel Gomes de Sousa da Costa Dias;Defensora Pública;Defensoria Pública do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador de Minas Gerais e comitiva para a cidade de Brasí­lia/DF;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;03:18:00;PT-MGS - PT-MGS;0023-2025;DTA;11/06/2025;Secretaria-Geral;BELO HORIZONTE;BRASILIA;Raquel Gomes de Sousa da Costa Dias;Defensora Pública;Defensoria Pública do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e comitiva até a cidade de Conceição do Mato Dentro/ MG;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:27:00;PR-DTG - N12;0064-2025;DTA;03/07/2025;Secretaria-Geral;SERRO;BELO HORIZONTE;Rodrigo Rodrigues Tavares;Diretor Geral ;Departamento de Edificações e Estradas de Rodagem
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Uberlândia/MG;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:06:00;PP-LCE - PEGASUS 100;0153-2025;DTA;06/10/2025;Secretaria-Geral;UBERLANDIA;BELO HORIZONTE;Luciano Correia Gonçalves;Diretor Geral ;Empresa Mineira de Comunicação
Traslado do Exmo. Governador de Minas e Comitiva para Araxá/MG.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;00:54:00;PP-LCE - PÉGASUS 24;0139-2025;DTA;26/09/2025;Secretaria-Geral;BELO HORIZONTE;ARAXA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ubá (agenda Cataguases) e Araxá.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;01:06:00;PP-LCE - PÉGASUS 24;0047-2025;DTA;27/02/2025 00:00;Secretaria-Geral;UBA;ARAXA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Brasília/DF.;Romeu Zema Neto;Secretaria-Geral do Estado de Minas Gerais;PLANEJADA;02:48:00;PT-MGS - PT-MGS;0008-2025;DTA;20/05/2025;Secretaria-Geral;BRASILIA;BELO HORIZONTE;Alexander Duarte Marinho;Ajudante de Ordens do Governador;GABINETE MILITAR DO GOVERNADOR
